,base,masked,masked_shuffled,shuffled,masked_diff,masked_shuffled_diff,shuffled_diff
claude,0.676,0.742,0.687,0.756,0.066,0.011,0.08
deepseek,0.659,0.711,0.699,0.715,0.051,0.039,0.055
gemini,0.602,0.712,0.636,0.688,0.11,0.034,0.086
grok3,0.695,0.756,0.709,0.769,0.062,0.014,0.074
llama4,0.573,0.651,0.613,0.68,0.078,0.041,0.107
mistral,0.624,0.661,0.569,0.627,0.037,-0.055,0.003
o3,0.763,0.762,0.758,0.767,-0.0,-0.004,0.005
qwen3,0.608,0.654,0.551,0.645,0.046,-0.057,0.037
AVERAGE,0.65,0.706,0.653,0.706,0.056,0.003,0.056
