Model,TP,FP,TN,FN,Precision,Recall,F1
claude,61,10,6,0,0.8591549295774648,1.0,0.9242424242424242
gemini,55,17,5,0,0.7638888888888888,1.0,0.8661417322834646
llama4,50,8,19,0,0.8620689655172413,1.0,0.9259259259259259
mistral,53,12,9,3,0.8153846153846154,0.9464285714285714,0.8760330578512396
grok3,62,8,7,0,0.8857142857142857,1.0,0.9393939393939393
o3,65,7,5,0,0.9027777777777778,1.0,0.9489051094890512
deepseek,54,15,5,3,0.782608695652174,0.9473684210526315,0.8571428571428571
qwen3,54,14,9,0,0.7941176470588235,1.0,0.8852459016393442
