Model,TP,FP,TN,FN,Precision,Recall,F1
gemini,56,16,3,0,0.7777777777777778,1.0,0.8750000000000001
claude,60,10,5,0,0.8571428571428571,1.0,0.923076923076923
o3,63,10,2,0,0.863013698630137,1.0,0.9264705882352942
qwen,51,17,7,0,0.75,1.0,0.8571428571428571
deepseek,56,17,2,0,0.7671232876712328,1.0,0.8682170542635659
grok,62,9,4,0,0.8732394366197183,1.0,0.9323308270676691
mistral,48,15,9,3,0.7619047619047619,0.9411764705882353,0.8421052631578947
llama,55,7,12,1,0.8870967741935484,0.9821428571428571,0.9322033898305085
